,State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
1,Connecticut,Greenwich (Town of),Fairfield,41.004657,-73.585128,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3089
2,Connecticut,Danbury,Fairfield,41.399167,-73.443056,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,2966
3,Connecticut,Stratford (Town of),Fairfield,41.1525,-73.103056,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3032
4,Connecticut,Westport,Fairfield,41.118333,-73.336667,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3039
5,Connecticut,East Hartford,Hartford,41.784722,-72.631667,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,2926
6,Connecticut,Cornwall,Litchfield,41.821342,-73.297257,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6039
7,Connecticut,Middletown,Middlesex,41.552196,-72.630015,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3043
8,Connecticut,New Haven,New Haven,41.3014,-72.902871,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6095
9,Connecticut,Madison (Town of),New Haven,41.256788,-72.55327,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3052
10,Connecticut,Groton,New London,41.35362,-72.07882,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,2981
11,Connecticut,Stafford (Stafford Hollow),Tolland,41.976389,-72.388056,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,2925
12,Connecticut,,Windham,41.84046,-72.010368,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6135
13,Massachusetts,Truro,Barnstable,41.975804,-70.023598,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5116
14,Massachusetts,Adams,Berkshire,42.63668,-73.167428,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,4109
15,Massachusetts,Fall River,Bristol,41.685707,-71.169235,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5281
16,Massachusetts,Fairhaven (Town of),Bristol,41.645381,-70.897504,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3096
17,Massachusetts,Aquinnah,Dukes,41.330469,-70.785225,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5129
18,Massachusetts,Lynn,Essex,42.474642,-70.970816,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6107
19,Massachusetts,Newburyport,Essex,42.814412,-70.817783,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5259
20,Massachusetts,Haverhill,Essex,42.770837,-71.10229,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5191
21,Massachusetts,Chicopee,Hampden,42.19438,-72.555112,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6170
22,Massachusetts,North Amherst,Hampshire,42.400579,-72.523109,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5272
23,Massachusetts,Ware (census name for Ware Center),Hampshire,42.298493,-72.334079,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5965
24,Massachusetts,Chelmsford (Chelmsford Center),Middlesex,42.62668,-71.362068,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6122
25,Massachusetts,Milton,Norfolk,42.211774,-71.11397,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5142
26,Massachusetts,Boston,Suffolk,42.317372,-70.968359,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5387
27,Massachusetts,Boston,Suffolk,42.3295,-71.0826,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6105
28,Massachusetts,Worcester,Worcester,42.274319,-71.875511,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5164
29,Massachusetts,Uxbridge,Worcester,42.099699,-71.619399,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5305
30,New York,Albany,Albany,42.68075,-73.75733,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6146
31,New York,New York,Bronx,40.816,-73.902,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5928
