,State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
1,Connecticut,Bridgeport,Fairfield,41.170833,-73.194722,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
2,Connecticut,Bridgeport,Fairfield,41.170833,-73.194722,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
3,Connecticut,Danbury,Fairfield,41.399167,-73.443056,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
4,Connecticut,Danbury,Fairfield,41.399167,-73.443056,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
5,Connecticut,Westport,Fairfield,41.118333,-73.336667,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
6,Connecticut,Westport,Fairfield,41.118333,-73.336667,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
7,Connecticut,East Hartford,Hartford,41.784722,-72.631667,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,361
8,Connecticut,East Hartford,Hartford,41.784722,-72.631667,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,361
9,Connecticut,East Hartford,Hartford,41.7425,-72.634444,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
10,Connecticut,East Hartford,Hartford,41.7425,-72.634444,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
11,Connecticut,Cornwall,Litchfield,41.821342,-73.297257,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,118
12,Connecticut,Cornwall,Litchfield,41.821342,-73.297257,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,118
13,Connecticut,New Haven,New Haven,41.3014,-72.902871,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,350
14,Connecticut,New Haven,New Haven,41.3014,-72.902871,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,350
15,Connecticut,New Haven,New Haven,41.3014,-72.902871,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,52
16,Connecticut,New Haven,New Haven,41.3014,-72.902871,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,52
17,Connecticut,New Haven,New Haven,41.310833,-72.916944,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
18,Connecticut,New Haven,New Haven,41.310833,-72.916944,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
19,Connecticut,Waterbury,New Haven,41.550556,-73.043611,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
20,Connecticut,Waterbury,New Haven,41.550556,-73.043611,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
21,Connecticut,Waterbury,New Haven,41.550556,-73.043611,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,61
22,Connecticut,Waterbury,New Haven,41.550556,-73.043611,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,61
23,Connecticut,Norwich,New London,41.524167,-72.076667,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
24,Connecticut,Norwich,New London,41.524167,-72.076667,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
25,Massachusetts,Pittsfield,Berkshire,42.448009,-73.254108,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
26,Massachusetts,Pittsfield,Berkshire,42.448009,-73.254108,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
27,Massachusetts,Fall River,Bristol,41.685707,-71.169235,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
28,Massachusetts,Fall River,Bristol,41.685707,-71.169235,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
29,Massachusetts,Lynn,Essex,42.474642,-70.970816,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,119
30,Massachusetts,Lynn,Essex,42.474642,-70.970816,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,119
31,Massachusetts,Haverhill,Essex,42.770837,-71.10229,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
32,Massachusetts,Haverhill,Essex,42.770837,-71.10229,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,117
33,Massachusetts,Lawrence,Essex,42.698215,-71.164413,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
34,Massachusetts,Lawrence,Essex,42.698215,-71.164413,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
35,Massachusetts,Chicopee,Hampden,42.19438,-72.555112,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
36,Massachusetts,Chicopee,Hampden,42.19438,-72.555112,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
37,Massachusetts,Chicopee,Hampden,42.19438,-72.555112,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,110
38,Massachusetts,Chicopee,Hampden,42.19438,-72.555112,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,110
