State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
Massachusetts,Truro,Barnstable,  41.975803999999997, -70.023598000000007,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5116
Massachusetts,Adams,Berkshire,  42.636679999999998, -73.167428000000001,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,4109
Massachusetts,Pittsfield,Berkshire,  42.448008999999999, -73.254108000000002,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
Massachusetts,Pittsfield,Berkshire,  42.448008999999999, -73.254108000000002,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,121
Massachusetts,Fall River,Bristol,  41.685707000000001, -71.169235000000000,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5281
Massachusetts,Fall River,Bristol,  41.685707000000001, -71.169235000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
Massachusetts,Fall River,Bristol,  41.685707000000001, -71.169235000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
Massachusetts,Fairhaven (Town of),Bristol,  41.645381000000000, -70.897503999999998,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,3096
Massachusetts,Aquinnah,Dukes,  41.330469000000001, -70.785224999999997,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5129
Massachusetts,Lynn,Essex,  42.474642000000003, -70.970815999999999,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,8297
Massachusetts,Lynn,Essex,  42.474642000000003, -70.970815999999999,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6107
Massachusetts,Lynn,Essex,  42.474642000000003, -70.970815999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,119
