CTUID,Total,Citizens,Not Citizens,Percentage Citizens
5370000,734885,694750,40135,0.945386013
5370001.01,2190,2085,105,0.952054795
5370001.02,5225,5020,205,0.96076555
5370001.04,6175,5780,400,0.936032389
5370001.05,5155,4830,335,0.936954413
5370001.06,5050,4810,245,0.952475248
5370001.07,3560,3315,250,0.931179775
5370001.08,6530,6235,295,0.95482389
5370001.09,4635,4375,260,0.94390507
5370002.01,5085,4875,205,0.958702065
5370002.03,2925,2740,180,0.936752137
5370002.04,4775,4520,250,0.946596859
5370002.05,7435,7110,330,0.956287828
5370002.06,3455,3290,160,0.952243126
5370003.01,4845,4495,345,0.927760578
5370003.02,3205,2995,205,0.934477379
5370003.03,3200,2955,245,0.9234375
5370003.04,5865,5365,500,0.914748508
5370004.01,3345,3075,270,0.919282511
5370004.02,4080,3825,255,0.9375
5370005.01,5930,5680,255,0.957841484
5370005.02,3830,3650,180,0.953002611
5370005.03,3820,3770,50,0.986910995
5370006,4900,4730,170,0.965306122
5370007,3550,3440,110,0.969014085
5370008,2095,2025,70,0.966587112
5370009,3720,3530,185,0.948924731
5370010,3010,2905,100,0.965116279
5370011,2185,2080,105,0.95194508
5370012,1505,1190,310,0.790697674
5370013,2800,2725,75,0.973214286
5370014,2645,2525,115,0.95463138
5370015,1665,1595,70,0.957957958
5370016,500,485,15,0.97
5370017,3475,3355,120,0.965467626
5370018,,,,#DIV/0!
5370019,4015,3655,360,0.910336239
5370020,3840,3715,125,0.967447917
5370021,4530,4210,315,0.929359823
5370022,4715,4430,280,0.939554613
5370023,2235,2190,45,0.979865772
5370024,2480,2385,95,0.961693548
5370025,2875,2800,70,0.973913043
5370026.01,3360,3180,185,0.946428571
5370026.02,1725,1620,105,0.939130435
5370026.03,2035,1970,70,0.968058968
5370026.04,1675,1610,65,0.96119403
5370026.05,4040,3865,175,0.956683168
5370026.06,5430,4955,475,0.91252302
5370027,1060,1035,25,0.976415094
5370028,2645,2595,50,0.981096408
5370029,4345,4165,175,0.958573072
5370030,3980,3885,90,0.976130653
5370031,2110,2075,30,0.983412322
5370032,3085,3000,90,0.972447326
5370033,2845,2655,185,0.933216169
5370034,5085,4005,1085,0.787610619
5370035,3360,3030,325,0.901785714
5370036,2550,1920,625,0.752941176
5370037,2535,2070,470,0.816568047
5370038,3935,3420,520,0.869123253
5370039,5155,4465,690,0.86614937
5370040,1905,1780,125,0.934383202
5370041,1950,1795,155,0.920512821
5370042,2595,2480,115,0.955684008
5370043,3535,2810,730,0.794908062
5370044,4180,3645,535,0.872009569
5370045,2985,2585,395,0.86599665
5370046,3100,2550,555,0.822580645
5370047,3095,2940,160,0.949919225
5370048,1420,1155,270,0.813380282
5370049,2075,1720,355,0.828915663
5370050,3670,3250,420,0.885558583
5370051,4440,4095,345,0.922297297
5370052,3385,3240,145,0.957163959
5370053,3085,2970,115,0.962722853
5370054,2545,2470,70,0.970530452
5370055,2995,2920,75,0.974958264
5370056,3230,3150,85,0.975232198
5370057,2885,2810,80,0.974003466
5370058,2380,2285,95,0.960084034
5370059,3045,2905,135,0.954022989
5370060,2720,2635,85,0.96875
5370061,2735,2450,285,0.895795247
5370062,3100,2865,240,0.924193548
5370063,2430,2090,345,0.860082305
5370064,1635,1510,125,0.923547401
5370065,2460,1930,525,0.784552846
5370066,4970,4605,360,0.926559356
5370067,1700,1650,45,0.970588235
5370068,855,850,10,0.994152047
5370069,960,935,25,0.973958333
5370070,2230,2180,55,0.977578475
5370071,6515,6150,365,0.943975441
5370072.01,90,90,0,1
5370072.02,3970,3675,300,0.925692695
5370072.03,6545,5225,1320,0.798319328
5370072.04,3440,3180,260,0.924418605
5370073,1195,1180,15,0.987447699
5370080.01,2260,2205,50,0.975663717
5370080.03,6215,5925,290,0.953338697
5370080.05,6995,6745,250,0.964260186
5370080.06,4970,4830,135,0.971830986
5370080.07,3095,2990,105,0.966074313
5370081,2315,2240,80,0.967602592
5370082,3460,3255,205,0.940751445
5370083,2290,2180,110,0.951965066
5370084.01,2635,2490,150,0.944971537
5370084.02,2990,2840,145,0.949832776
5370084.03,2115,2070,45,0.978723404
5370084.04,1835,1795,40,0.978201635
5370084.05,2865,2755,110,0.961605585
5370085.01,4230,4160,65,0.983451537
5370085.02,6530,6335,195,0.970137825
5370085.03,3920,3695,220,0.942602041
5370086,9715,9390,325,0.966546577
5370100.01,9625,9085,545,0.943896104
5370100.02,7890,7625,260,0.966413181
5370101.01,7810,7605,205,0.973751601
5370101.02,4650,4545,105,0.977419355
5370120.02,2165,2120,55,0.979214781
5370120.03,6835,6240,600,0.912948061
5370120.04,6060,5525,535,0.911716172
