CTUID,Total,Condominium,Not Condominium 
5370000,293345,38235,255105
5370001.01,760,125,635
5370001.02,1760,350,1410
5370001.04,1895,130,1760
5370001.05,1605,280,1330
5370001.06,1610,160,1450
5370001.07,1270,495,780
5370001.08,2050,160,1890
5370001.09,1390,310,1080
5370002.01,1630,75,1545
5370002.03,1050,225,825
5370002.04,1570,45,1530
5370002.05,2330,275,2055
5370002.06,1385,435,950
5370003.01,1965,355,1610
5370003.02,1310,290,1020
5370003.03,1075,125,955
5370003.04,2270,360,1905
5370004.01,1410,105,1315
5370004.02,1630,125,1505
5370005.01,2340,20,2320
5370005.02,1415,135,1275
5370005.03,1540,55,1480
5370006,2045,35,2010
5370007,1595,15,1580
5370008,1090,0,1085
5370009,1425,0,1420
5370010,1345,40,1310
5370011,925,0,920
5370012,585,0,585
5370013,1055,0,1055
5370014,1020,0,1015
5370015,755,0,755
5370016,180,50,130
5370017,1385,195,1185
5370018,,,
5370019,1725,35,1690
5370020,1715,25,1695
5370021,1990,60,1925
5370022,2370,65,2310
5370023,940,0,935
5370024,1115,35,1075
5370025,1120,0,1120
5370026.01,1640,250,1390
5370026.02,910,135,775
5370026.03,715,115,605
5370026.04,635,0,630
5370026.05,1705,455,1245
5370026.06,2060,1070,990
5370027,485,40,445
5370028,1225,10,1215
5370029,2025,30,1995
5370030,1630,10,1620
5370031,840,10,825
5370032,1465,20,1450
5370033,1305,0,1300
5370034,2970,565,2400
5370035,1825,180,1640
5370036,1425,100,1325
5370037,1940,440,1500
5370038,2665,370,2295
5370039,3060,260,2800
5370040,1040,20,1020
5370041,1080,10,1070
5370042,1230,20,1210
5370043,1490,30,1455
5370044,2335,495,1840
5370045,1160,15,1145
5370046,1380,20,1355
5370047,1700,180,1520
5370048,880,55,820
5370049,1175,115,1065
5370050,1750,50,1700
5370051,1975,20,1955
5370052,1585,80,1505
5370053,1285,20,1265
5370054,1160,0,1165
5370055,1280,0,1275
5370056,1400,15,1380
5370057,1315,0,1310
5370058,1040,0,1045
5370059,1260,10,1250
5370060,1055,0,1055
5370061,1105,0,1105
5370062,1355,10,1345
5370063,1100,20,1085
5370064,760,35,725
5370065,960,45,915
5370066,2055,30,2025
5370067,635,20,615
5370068,395,0,400
5370069,395,0,395
5370070,890,0,885
5370071,2715,20,2700
5370072.01,40,0,40
5370072.02,1770,60,1710
5370072.03,2730,265,2465
5370072.04,1250,145,1105
5370073,560,75,480
5370080.01,775,0,775
5370080.03,2165,280,1885
5370080.05,2115,200,1920
5370080.06,1650,225,1420
5370080.07,985,20,960
5370081,1065,75,995
5370082,1700,165,1535
5370083,1170,125,1040
5370084.01,980,10,975
5370084.02,1250,340,915
5370084.03,765,25,740
5370084.04,945,675,270
5370084.05,1025,135,895
5370085.01,1430,150,1280
5370085.02,2230,580,1660
5370085.03,1575,280,1290
5370086,3180,130,3050
5370100.01,3150,555,2600
5370100.02,2675,280,2390
5370101.01,3230,1590,1640
5370101.02,1515,0,1510
5370120.02,685,0,685
5370120.03,2175,455,1720
5370120.04,1850,545,1305
5370121,630,10,615
5370122.01,1980,350,1625
5370122.02,2295,285,2010
5370123,2680,105,2575
5370124,1275,40,1240
5370130.02,1530,125,1410
5370130.03,1325,170,1155
5370131,1885,135,1750
5370132,1545,185,1365
5370133.01,1180,310,865
5370133.02,2510,605,1905
5370140.02,3045,185,2865
5370140.03,2505,130,2375
5370140.04,1320,165,1155
5370141,1475,15,1455
5370142.01,1335,15,1315
5370142.02,1625,120,1500
5370143,1345,10,1335
5370144.01,1750,30,1720
5370144.02,615,0,610
5370200,980,190,790
5370201,1355,215,1145
5370202,2900,445,2450
5370203,1135,105,1030
5370204,2075,410,1660
5370205.01,1350,510,840
5370205.02,2925,1240,1680
5370206,1990,470,1515
5370207.01,2430,385,2040
5370207.02,2035,35,2000
5370207.03,1425,460,970
5370207.04,1135,630,510
5370208,1240,165,1075
5370209,625,0,625
5370210,935,175,765
5370211,1260,95,1160
5370212,770,140,630
5370213,2035,430,1605
5370214,1205,205,1000
5370215,1245,165,1080
5370216,1475,45,1430
5370217.01,2445,655,1785
5370217.02,1365,360,1005
5370218,2690,230,2455
5370219,1580,0,1580
5370220,2545,735,1810
5370221,1180,75,1110
5370222.01,,,
5370222.02,1750,850,895
5370222.03,1585,190,1395
5370223.01,985,135,850
5370223.02,1730,420,1305
5370223.05,980,60,920
5370223.06,1305,100,1205
5370223.07,1705,630,1075
5370223.09,2690,280,2410
5370223.1,1580,360,1225
5370223.12,3590,2090,1500
5370223.13,1620,645,975
5370223.14,1440,460,985
5370223.15,860,210,655
5370223.16,815,520,295
5370224.01,3125,400,2725
5370224.02,1300,20,1280
5370300,725,0,725
5370301,2855,525,2325
5370302,2425,250,2175
5370303.01,1440,105,1335
5370303.02,2930,360,2570
