CTUID,Pop Density,Average Household Age,Average Household Size,Average Household Total Income ,Average Number of Rooms,Average Shelter Monthly Cost,p Housing Suitability,Built On or After 2001,p Single-Detached Houses,pGoodCondition
5370000,544.9,41.6,2.5,97211,6.5,1422,0.954899521,0.168266035,0.562682166,0.937377491
5370001.01,397.6,39.8,2.9,97255,7.3,1406,0.960526316,0.164473684,0.616883117,0.953947368
5370001.02,4102.4,36.7,3,93625,7,1394,0.946022727,0.105113636,0.551136364,0.962962963
5370001.04,3702.5,38.1,3.3,107691,7.5,1410,0.923684211,0.203166227,0.696569921,0.971052632
5370001.05,3443.7,38.6,3.2,96577,7,1536,0.925233645,0.426791277,0.671826625,0.975077882
5370001.06,3511,40.9,3.1,111352,7.9,1352,0.959501558,0.056074766,0.763975155,0.965732087
5370001.07,4922.7,37.7,2.9,76802,6.7,1186,0.948818898,0.039215686,0.335968379,0.937007874
5370001.08,4001.5,38,3.2,102526,7.3,1475,0.934146341,0.3,0.751219512,0.982926829
5370001.09,2318,34.9,3.3,100300,6.9,1554,0.910071942,0.438848921,0.633093525,0.982014388
5370002.01,3450.3,37.4,3.2,105794,7.3,1398,0.944615385,0.331288344,0.730650155,0.982014388
5370002.03,3979,40.4,2.8,87838,7.3,1205,0.957345972,0.014285714,0.506912442,0.90521327
5370002.04,4706.2,39.9,3,99583,7.3,1318,0.949044586,0.038216561,0.652597403,0.949206349
5370002.05,3882.4,38.9,3.2,113754,7.5,1644,0.954935622,0.420600858,0.74186551,0.978494624
5370002.06,1329.4,48,2.4,89364,6.6,1436,0.967625899,0.338129496,0.466192171,0.989208633
5370003.01,4292.9,46.1,2.5,88203,6.4,1311,0.918575064,0.175126904,0.410126582,0.951653944
5370003.02,4013.8,46.6,2.5,79572,6.4,1180,0.965648855,0,0.273764259,0.950381679
5370003.03,4446.9,37.9,3,77645,7.2,1212,0.944444444,0.041666667,0.590909091,0.920930233
5370003.04,3346.1,40.6,2.6,70454,6.4,1107,0.942731278,0.019823789,0.491111111,0.925110132
5370004.01,3308.8,42.1,2.4,63154,6,1081,0.925795053,0.014134276,0.510948905,0.890459364
5370004.02,4189,41.7,2.5,69512,6,1151,0.923312883,0.015337423,0.385074627,0.926605505
5370005.01,3302.9,44.9,2.5,74464,6.3,1221,0.948608137,0.057692308,0.596153846,0.918803419
5370005.02,4107.4,39.8,2.7,77333,6.8,1213,0.936170213,0.021276596,0.54964539,0.914893617
5370005.03,4255.8,44.7,2.6,81607,6.7,1114,0.964285714,0.061688312,0.595394737,0.951298701
5370006,2132.5,43.5,2.3,75001,6.1,1160,0.946210269,0.014669927,0.661835749,0.919315403
5370007,3943.1,45.3,2.1,68884,5.7,1102,0.943573668,0.043887147,0.665615142,0.937106918
5370008,3156.4,51.4,2.1,63405,5.8,1102,0.963302752,0,0.640909091,0.922018349
5370009,4170.7,41.6,2.6,68952,6.4,1048,0.926315789,0.007017544,0.631205674,0.943661972
5370010,3459.6,43.4,2.3,70488,6.1,1098,0.951851852,0.007407407,0.720588235,0.959107807
5370011,2647.8,44,2.4,80611,6.7,1078,0.972972973,0,0.923913043,0.940540541
5370012,3565.7,38.7,2.4,64020,6,1069,0.914529915,0.034188034,0.611111111,0.931623932
5370013,1822.2,44,2.6,95849,7.4,1215,0.981042654,0.009433962,0.948598131,0.938679245
5370014,2293.9,44.5,2.6,101473,7.7,1246,0.965686275,0.019607843,0.976076555,0.92195122
5370015,2879.8,52.6,2.2,79936,6.3,1205,1,0.119205298,0.773333333,0.973333333
5370016,1104.1,41.8,2.8,125292,7.5,1465,1,0.416666667,0.705882353,1
