CTUID,Total,Before 1961,1961-1980,1981-1990,1991-2000,2001-2005,2006-2010,2011-2016,Before 2001,On or After 2001
5370000,293345,87620,88515,35930,31920,17970,16600,14790,0.831733965,0.168266035
5370001.01,760,40,225,265,110,70,0,55,0.842105263,0.164473684
5370001.02,1760,10,330,640,595,60,65,60,0.894886364,0.105113636
5370001.04,1895,50,110,845,510,120,145,120,0.799472296,0.203166227
5370001.05,1605,50,85,300,480,165,305,215,0.570093458,0.426791277
5370001.06,1605,15,335,970,200,50,25,15,0.947040498,0.056074766
5370001.07,1275,45,850,255,80,40,10,0,0.964705882,0.039215686
5370001.08,2050,60,220,460,695,150,185,280,0.7,0.3
5370001.09,1390,115,105,105,455,385,155,70,0.561151079,0.438848921
5370002.01,1630,140,510,100,345,190,280,70,0.671779141,0.331288344
5370002.03,1050,35,705,235,55,0,0,15,0.980952381,0.014285714
5370002.04,1570,35,470,835,175,10,10,40,0.964968153,0.038216561
5370002.05,2330,30,385,335,595,285,235,460,0.577253219,0.420600858
5370002.06,1390,115,295,265,240,120,70,280,0.658273381,0.338129496
5370003.01,1970,155,1145,105,220,280,55,10,0.824873096,0.175126904
5370003.02,1310,50,985,210,55,0,0,0,0.992366412,0
5370003.03,1080,90,605,250,75,0,0,45,0.944444444,0.041666667
5370003.04,2270,280,1430,340,170,35,10,0,0.977973568,0.019823789
5370004.01,1415,370,900,95,30,10,0,10,0.985865724,0.014134276
5370004.02,1630,260,830,365,160,15,0,10,0.990797546,0.015337423
5370005.01,2340,370,1255,410,160,10,105,20,0.938034188,0.057692308
5370005.02,1410,200,975,165,40,20,10,0,0.978723404,0.021276596
5370005.03,1540,75,765,300,310,65,30,0,0.941558442,0.061688312
5370006,2045,1250,705,50,10,10,20,0,0.985330073,0.014669927
5370007,1595,960,445,70,40,45,25,0,0.94984326,0.043887147
5370008,1090,695,360,20,15,0,0,0,1,0
5370009,1425,600,380,410,20,10,0,0,0.989473684,0.007017544
5370010,1350,880,400,45,20,10,0,0,0.996296296,0.007407407
5370011,930,595,265,10,45,0,0,0,0.983870968,0
5370012,585,370,180,10,0,10,10,0,0.957264957,0.034188034
5370013,1060,530,500,0,25,0,0,10,0.995283019,0.009433962
5370014,1020,595,365,40,10,10,0,10,0.990196078,0.019607843
5370015,755,370,240,20,35,65,25,0,0.880794702,0.119205298
5370016,180,0,25,0,85,10,0,65,0.611111111,0.416666667
5370017,1380,1085,85,15,45,105,20,25,0.891304348,0.108695652
5370018,,,,,,,,,#DIV/0!,#DIV/0!
5370019,1725,1215,345,80,25,25,30,0,0.965217391,0.031884058
5370020,1715,1375,260,20,30,20,10,0,0.982507289,0.017492711
5370021,1985,1455,435,60,20,0,10,10,0.992443325,0.010075567
5370022,2370,1665,580,80,30,0,0,15,0.993670886,0.006329114
5370023,935,745,165,10,20,0,0,0,1.005347594,0
5370024,1115,375,690,20,15,10,0,10,0.986547085,0.01793722
5370025,1120,815,235,50,20,0,0,0,1,0
5370026.01,1640,555,970,80,20,10,0,0,0.990853659,0.006097561
5370026.02,910,165,570,55,35,55,35,0,0.906593407,0.098901099
5370026.03,715,15,210,295,75,115,10,0,0.832167832,0.174825175
5370026.04,630,25,570,30,15,0,0,0,1.015873016,0
5370026.05,1705,180,1115,295,105,10,10,0,0.994134897,0.011730205
5370026.06,2060,160,1480,295,105,0,0,15,0.990291262,0.007281553
5370027,485,330,130,10,15,0,0,0,1,0
5370028,1220,780,375,15,45,0,0,0,0.995901639,0
5370029,2025,1465,455,40,30,10,0,20,0.982716049,0.014814815
5370030,1630,1505,100,20,10,0,0,0,1.003067485,0
5370031,840,805,35,0,0,0,0,0,1,0
5370032,1470,900,255,100,125,40,55,10,0.93877551,0.071428571
5370033,1305,1110,135,30,20,0,0,0,0.992337165,0
5370034,2970,1000,1430,200,170,55,90,20,0.942760943,0.055555556
5370035,1820,1205,455,90,45,15,0,10,0.986263736,0.013736264
5370036,1430,450,605,135,70,55,70,35,0.881118881,0.111888112
5370037,1940,560,970,145,155,20,0,75,0.943298969,0.048969072
5370038,2665,1005,1205,200,75,10,20,150,0.932457786,0.067542214
5370039,3060,1285,1305,285,140,25,10,10,0.985294118,0.014705882
5370040,1040,730,230,40,30,0,0,0,0.990384615,0
5370041,1080,695,240,60,60,10,10,0,0.976851852,0.018518519
5370042,1230,940,185,45,50,0,0,0,0.991869919,0
5370043,1490,730,475,130,110,20,15,10,0.969798658,0.030201342
5370044,2335,730,1170,215,140,75,0,0,0.965738758,0.032119914
5370045,1160,965,85,25,30,15,25,10,0.952586207,0.043103448
5370046,1375,820,330,140,70,15,0,0,0.989090909,0.010909091
5370047,1700,910,370,115,70,20,55,145,0.861764706,0.129411765
5370048,880,245,470,70,25,25,40,10,0.920454545,0.085227273
5370049,1175,515,395,110,85,45,20,15,0.940425532,0.068085106
5370050,1750,1065,450,150,50,25,0,10,0.98,0.02
5370051,1975,1205,530,120,110,0,0,10,0.994936709,0.005063291
5370052,1590,1345,160,35,35,0,0,10,0.990566038,0.006289308
5370053,1285,1125,130,15,10,10,0,0,0.996108949,0.007782101
5370054,1165,1005,130,25,0,0,0,0,0.995708155,0
5370055,1280,1095,130,15,10,0,25,15,0.9765625,0.03125
5370056,1395,1125,215,20,35,0,0,0,1,0
5370057,1315,1015,220,45,20,0,0,0,0.988593156,0
5370058,1045,790,170,35,30,10,10,0,0.980861244,0.019138756
5370059,1260,1030,165,40,20,0,10,10,0.996031746,0.015873016
5370060,1055,925,110,10,0,0,0,0,0.990521327,0
5370061,1110,865,160,45,30,0,0,0,0.990990991,0
5370062,1360,1150,150,25,20,0,10,0,0.988970588,0.007352941
5370063,1105,620,310,35,125,0,0,0,0.986425339,0
5370064,755,650,45,20,15,10,0,10,0.966887417,0.026490066
5370065,955,490,330,65,60,10,0,10,0.989528796,0.020942408
5370066,2055,1255,510,175,70,10,10,20,0.97810219,0.01946472
5370067,635,500,80,10,15,0,10,30,0.952755906,0.062992126
5370068,400,350,40,10,0,0,0,0,1,0
5370069,395,345,35,0,10,0,0,0,0.987341772,0
5370070,885,610,210,40,10,0,10,10,0.983050847,0.02259887
5370071,2715,1545,980,100,65,0,15,15,0.990791897,0.011049724
5370072.01,40,10,15,15,0,0,0,0,1,0
5370072.02,1770,315,1080,155,145,45,0,20,0.957627119,0.036723164
5370072.03,2735,400,1950,225,125,15,10,10,0.987202925,0.012797075
5370072.04,1245,75,735,295,110,25,10,0,0.975903614,0.02811245
5370073,555,360,65,0,15,25,65,20,0.792792793,0.198198198
5370080.01,775,300,265,85,55,35,25,20,0.909677419,0.103225806
5370080.03,2165,15,435,640,105,100,240,625,0.551963048,0.445727483
5370080.05,2115,130,80,130,810,555,220,190,0.543735225,0.456264775
5370080.06,1650,25,515,475,505,75,40,15,0.921212121,0.078787879
5370080.07,985,30,305,165,130,20,15,325,0.639593909,0.365482234
5370081,1065,510,390,65,55,45,0,0,0.957746479,0.042253521
5370082,1700,810,710,120,35,10,0,0,0.985294118,0.005882353
5370083,1165,490,415,160,90,0,0,10,0.991416309,0.008583691
5370084.01,980,315,455,100,55,20,20,15,0.943877551,0.056122449
5370084.02,1250,135,675,310,55,0,50,20,0.94,0.056
