CTUID,Total,Suitable,Not Suitable,Housing Suitability Percentage
5370000,293345,280115,13230,0.954899521
5370001.01,760,730,30,0.960526316
5370001.02,1760,1665,90,0.946022727
5370001.04,1900,1755,140,0.923684211
5370001.05,1605,1485,115,0.925233645
5370001.06,1605,1540,70,0.959501558
5370001.07,1270,1205,65,0.948818898
5370001.08,2050,1915,135,0.934146341
5370001.09,1390,1265,120,0.910071942
5370002.01,1625,1535,95,0.944615385
5370002.03,1055,1010,35,0.957345972
5370002.04,1570,1490,85,0.949044586
5370002.05,2330,2225,100,0.954935622
5370002.06,1390,1345,40,0.967625899
5370003.01,1965,1805,160,0.918575064
5370003.02,1310,1265,50,0.965648855
5370003.03,1080,1020,55,0.944444444
5370003.04,2270,2140,130,0.942731278
5370004.01,1415,1310,100,0.925795053
5370004.02,1630,1505,125,0.923312883
5370005.01,2335,2215,120,0.948608137
5370005.02,1410,1320,90,0.936170213
5370005.03,1540,1485,50,0.964285714
5370006,2045,1935,115,0.946210269
5370007,1595,1505,85,0.943573668
5370008,1090,1050,35,0.963302752
5370009,1425,1320,105,0.926315789
5370010,1350,1285,65,0.951851852
5370011,925,900,30,0.972972973
5370012,585,535,50,0.914529915
5370013,1055,1035,25,0.981042654
5370014,1020,985,35,0.965686275
5370015,750,750,10,1
5370016,180,180,0,1
5370017,1380,1375,0,0.996376812
5370018,,,,#DIV/0!
5370019,1725,1630,90,0.944927536
5370020,1720,1635,80,0.950581395
5370021,1985,1895,95,0.95465995
5370022,2370,2280,90,0.962025316
5370023,935,920,15,0.983957219
5370024,1115,1080,30,0.968609865
5370025,1120,1070,50,0.955357143
5370026.01,1640,1545,95,0.942073171
5370026.02,910,875,40,0.961538462
5370026.03,715,700,15,0.979020979
5370026.04,635,630,0,0.992125984
5370026.05,1705,1610,95,0.944281525
5370026.06,2060,1880,185,0.912621359
5370027,485,470,25,0.969072165
5370028,1220,1170,55,0.959016393
5370029,2025,1895,125,0.935802469
5370030,1630,1590,40,0.975460123
5370031,840,800,40,0.952380952
5370032,1470,1365,105,0.928571429
5370033,1300,1220,90,0.938461538
5370034,2965,2600,370,0.876897133
5370035,1820,1660,160,0.912087912
5370036,1430,1270,160,0.888111888
5370037,1940,1855,85,0.956185567
5370038,2665,2495,170,0.936210131
5370039,3065,2835,230,0.924959217
5370040,1040,1005,30,0.966346154
5370041,1080,1010,70,0.935185185
5370042,1230,1200,30,0.975609756
5370043,1490,1375,115,0.922818792
5370044,2335,2215,120,0.948608137
5370045,1160,1115,45,0.961206897
5370046,1375,1275,100,0.927272727
5370047,1700,1650,45,0.970588235
5370048,880,785,95,0.892045455
5370049,1175,1035,145,0.880851064
5370050,1750,1590,160,0.908571429
5370051,1980,1825,155,0.921717172
5370052,1585,1500,85,0.94637224
5370053,1285,1205,80,0.937743191
5370054,1160,1110,55,0.956896552
5370055,1275,1195,80,0.937254902
5370056,1400,1330,70,0.95
5370057,1315,1245,70,0.946768061
5370058,1045,965,75,0.923444976
5370059,1260,1170,90,0.928571429
5370060,1055,955,100,0.90521327
5370061,1105,1025,85,0.92760181
5370062,1355,1230,125,0.907749077
5370063,1105,960,145,0.868778281
5370064,755,710,50,0.940397351
5370065,955,790,170,0.827225131
5370066,2055,1900,160,0.924574209
5370067,635,590,45,0.929133858
5370068,400,370,30,0.925
5370069,395,360,30,0.911392405
5370070,885,850,40,0.960451977
5370071,2720,2475,245,0.909926471
5370072.01,45,45,0,1
5370072.02,1765,1620,145,0.917847025
5370072.03,2735,2250,485,0.822669104
5370072.04,1250,1150,95,0.92
5370073,555,530,20,0.954954955
5370080.01,775,750,30,0.967741935
5370080.03,2165,2055,110,0.949191686
5370080.05,2120,2015,100,0.950471698
5370080.06,1650,1570,75,0.951515152
5370080.07,985,930,55,0.944162437
5370081,1065,1030,35,0.96713615
5370082,1700,1650,50,0.970588235
5370083,1170,1115,55,0.952991453
5370084.01,980,925,60,0.943877551
5370084.02,1250,1210,40,0.968
5370084.03,760,745,20,0.980263158
5370084.04,945,920,25,0.973544974
5370084.05,1030,1000,25,0.970873786
5370085.01,1430,1375,55,0.961538462
5370085.02,2230,2120,110,0.950672646
5370085.03,1570,1525,40,0.97133758
5370086,3185,3090,90,0.970172684
5370100.01,3150,3065,85,0.973015873
5370100.02,2670,2630,45,0.985018727
5370101.01,3230,3155,75,0.976780186
5370101.02,1515,1450,60,0.95709571
5370120.02,690,665,20,0.963768116
5370120.03,2175,2105,75,0.967816092
5370120.04,1850,1770,80,0.956756757
5370121,630,610,20,0.968253968
5370122.01,1975,1935,40,0.979746835
5370122.02,2295,2265,30,0.986928105
5370123,2685,2620,60,0.975791434
5370124,1280,1275,0,0.99609375
5370130.02,1530,1520,0,0.993464052
5370130.03,1330,1290,35,0.969924812
5370131,1885,1845,40,0.978779841
5370132,1545,1520,25,0.98381877
5370133.01,1180,1145,35,0.970338983
5370133.02,2510,2435,75,0.970119522
5370140.02,3045,2950,95,0.968801314
5370140.03,2505,2455,50,0.98003992
5370140.04,1320,1300,20,0.984848485
5370141,1470,1440,35,0.979591837
5370142.01,1330,1300,35,0.977443609
5370142.02,1620,1605,10,0.990740741
5370143,1345,1295,50,0.962825279
5370144.01,1750,1725,25,0.985714286
5370144.02,610,595,15,0.975409836
5370200,980,960,20,0.979591837
5370201,1355,1325,30,0.977859779
5370202,2895,2840,60,0.981001727
5370203,1130,1110,25,0.982300885
5370204,2070,1875,195,0.905797101
5370205.01,1350,1305,45,0.966666667
5370205.02,2925,2775,145,0.948717949
5370206,1990,1895,95,0.952261307
5370207.01,2430,2355,75,0.969135802
5370207.02,2035,1995,45,0.98034398
5370207.03,1425,1410,15,0.989473684
5370207.04,1140,1105,30,0.969298246
5370208,1235,1200,40,0.971659919
5370209,625,615,10,0.984
5370210,935,890,40,0.951871658
5370211,1260,1195,60,0.948412698
5370212,770,755,20,0.980519481
5370213,2035,1965,80,0.965601966
5370214,1205,1165,40,0.966804979
5370215,1245,1185,60,0.951807229
5370216,1475,1450,25,0.983050847
5370217.01,2445,2350,95,0.961145194
5370217.02,1365,1340,25,0.981684982
5370218,2690,2635,55,0.979553903
5370219,1580,1565,15,0.990506329
5370220,2545,2455,90,0.964636542
5370221,1185,1160,25,0.978902954
5370222.01,,,,#DIV/0!
5370222.02,1750,1710,40,0.977142857
5370222.03,1585,1570,15,0.990536278
5370223.01,980,965,15,0.984693878
5370223.02,1730,1660,65,0.959537572
5370223.05,980,940,45,0.959183673
5370223.06,1305,1290,15,0.988505747
5370223.07,1705,1670,40,0.979472141
5370223.09,2690,2650,40,0.985130112
5370223.1,1580,1565,15,0.990506329
5370223.12,3590,3500,90,0.974930362
5370223.13,1620,1590,30,0.981481481
5370223.14,1440,1425,15,0.989583333
5370223.15,860,845,15,0.98255814
5370223.16,815,790,25,0.969325153
5370224.01,3125,2995,130,0.9584
5370224.02,1295,1255,40,0.969111969
5370300,725,715,15,0.986206897
5370301,2855,2805,50,0.982486865
5370302,2425,2370,55,0.977319588
5370303.01,1440,1415,25,0.982638889
5370303.02,2930,2845,80,0.970989761
